run_id,experiment,model,oof_loss,oof_acc,oof_rmse_dollars,oof_mae_dollars,oof_r2
baseline_s42,baseline,blend_optimized,0.10952234964348527,0.7527472527472527,19864.693965149083,12717.962390141933,0.9328710274750284
baseline_s42,baseline,elasticnet,0.1112464643063424,0.7486263736263736,20303.157217621574,13214.548817234332,0.9298749154825476
baseline_s42,baseline,blend_equal,0.1119699452780051,0.7644230769230769,20398.120049251156,12931.149794904693,0.9292173970429174
baseline_s42,baseline,ridge,0.11318974759848312,0.7438186813186813,20517.556667220077,13473.488007051541,0.9283860669948513
baseline_s42,baseline,gradient_boosting,0.11956652583076954,0.7328296703296703,21492.14952419074,13945.639918397897,0.9214210992315337
baseline_s42,baseline,random_forest,0.13442952112724108,0.6813186813186813,25022.11130931291,16133.48781246782,0.8934890775681696
