run_id,experiment,model,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_rmse_dollars,val_mae_dollars,val_r2,seconds
baseline_s42,baseline,ridge,1,1,0.09106892673543072,0.8058419243986255,0.12216286001484147,0.726027397260274,19442.679251625057,13473.504909676509,0.9279749149884606,0.02707269999999995
baseline_s42,baseline,ridge,2,1,0.0930362226098692,0.8128755364806867,0.1111717928705593,0.7353951890034365,17982.69178596791,12888.380227884803,0.9438519579438057,0.020284199999999974
baseline_s42,baseline,ridge,3,1,0.09075909599634056,0.8025751072961373,0.11637301382967001,0.7663230240549829,20399.243283717806,13652.500062097615,0.9386430224518161,0.01995199999999997
baseline_s42,baseline,ridge,4,1,0.09235678631064621,0.8163090128755365,0.1170491316513787,0.738831615120275,22979.804791348797,14099.28890844245,0.9093133983032096,0.019969999999999932
baseline_s42,baseline,ridge,5,1,0.09575934404845197,0.8017167381974248,0.09760239823453322,0.7525773195876289,21433.682031100627,13253.7658690717,0.9189814770327335,0.020055400000000057
baseline_s42,baseline,elasticnet,1,1,0.09312186129471119,0.8075601374570447,0.117825578773054,0.7226027397260274,18972.709722270127,13186.279053460632,0.9314148203345506,0.8331169
baseline_s42,baseline,elasticnet,2,1,0.09356779624397478,0.8,0.11044867689322894,0.7663230240549829,17964.31169667681,12470.355170879833,0.9439666769895063,0.08285190000000009
baseline_s42,baseline,elasticnet,3,1,0.09188479360403647,0.7982832618025751,0.11650444891118013,0.7663230240549829,20668.924068337798,13753.031296389237,0.9370100037089026,0.11445759999999994
baseline_s42,baseline,elasticnet,4,1,0.09372711204183407,0.8103004291845494,0.11284085072194648,0.7353951890034365,22525.502147860065,13742.280442001947,0.9128636387672786,0.2284853
baseline_s42,baseline,elasticnet,5,1,0.09639432646661548,0.7879828326180257,0.09739393537257147,0.7525773195876289,21071.014583453583,12920.895270394554,0.9217000203071332,0.09534039999999999
baseline_s42,baseline,gradient_boosting,1,1200,0.06052276166529641,0.9579037800687286,0.13166881433165462,0.7397260273972602,20239.72376077658,13836.80926292,0.9219485963082428,7.7620249999999995
baseline_s42,baseline,gradient_boosting,2,1200,0.06631684713831022,0.9562231759656652,0.11153038183798822,0.711340206185567,18551.662831834496,13275.744788440108,0.9402427091397465,7.704228400000002
baseline_s42,baseline,gradient_boosting,3,1200,0.05954685559187592,0.951931330472103,0.12616928271958217,0.7285223367697594,22553.832248986706,14845.666298105958,0.9249973626362653,7.723209799999999
baseline_s42,baseline,gradient_boosting,4,1200,0.06527642001230272,0.951931330472103,0.12338260524195377,0.7422680412371134,22793.988117228557,14232.405495892881,0.9107740680709722,7.774662500000002
baseline_s42,baseline,gradient_boosting,5,1200,0.06691038243896721,0.9450643776824035,0.10272616047697458,0.7422680412371134,22971.508640218326,13537.947735137332,0.9069385552815253,7.7587677
baseline_s42,baseline,random_forest,1,700,0.04834170105809126,0.9493127147766323,0.14443157852238525,0.660958904109589,23353.777916821076,16134.622834699208,0.8960831800039862,0.754718699999998
baseline_s42,baseline,random_forest,2,700,0.04993519570587913,0.9450643776824035,0.12751653305234079,0.7079037800687286,21943.77161497954,15194.777786616309,0.916392013576924,0.6742467999999988
baseline_s42,baseline,random_forest,3,700,0.048264887841141316,0.9502145922746781,0.13884692319797087,0.6494845360824743,27860.57036594432,17883.6888195573,0.8855499861814302,0.6946697999999998
baseline_s42,baseline,random_forest,4,700,0.049108574175256776,0.9459227467811159,0.1402046510332765,0.6872852233676976,25569.461367139404,15847.455726310855,0.8877222718066925,0.6742828000000003
baseline_s42,baseline,random_forest,5,700,0.050453186162743656,0.9484978540772532,0.11954135935400732,0.7010309278350515,25959.0220251777,15606.889994735382,0.8811586961673834,0.7042403000000022
