run_id,experiment,model,oof_loss,oof_acc,oof_rmse_dollars,oof_mae_dollars,oof_r2
tuned2_s2026,tuned2,blend_optimized,0.10757754468007498,0.7722908093278463,20679.61159713506,12560.53678578609,0.9322822536990666
tuned2_s2026,tuned2,blend_equal,0.10893645091286959,0.7674897119341564,21027.027040629535,12792.960282839247,0.9299878382938326
tuned2_s2026,tuned2,elasticnet,0.11124322357125196,0.7462277091906722,21591.276561913102,13483.71869532689,0.9261799421150294
tuned2_s2026,tuned2,lasso,0.11129932760724634,0.742798353909465,21627.28026791309,13500.529251447877,0.9259335452328415
tuned2_s2026,tuned2,svr,0.11302715899659246,0.7688614540466392,20465.261731277318,12813.153965722335,0.9336788043335763
tuned2_s2026,tuned2,catboost,0.11309950365538303,0.7606310013717421,22363.574794312983,13398.395172933395,0.9208045568391966
tuned2_s2026,tuned2,ridge,0.11314443890391147,0.7441700960219478,21563.572061364386,13648.316686438673,0.9263692626240769
tuned2_s2026,tuned2,xgboost,0.11404759748708054,0.7400548696844993,22447.291030939286,13776.397929478784,0.9202105235639836
tuned2_s2026,tuned2,gradient_boosting,0.11430095103663566,0.7558299039780522,21965.085309951854,13412.48572785787,0.9236017290857157
tuned2_s2026,tuned2,kernel_ridge,0.12026509915680095,0.7318244170096022,22378.013168928475,14323.539734867541,0.9207022634800158
tuned2_s2026,tuned2,lightgbm,0.12428511380086288,0.7160493827160493,24344.249392097943,14974.96903124076,0.906155134176549
