model,weight
ridge,0.0
elasticnet,1.471080510348114e-17
lasso,0.35073995635120775
kernel_ridge,0.0
svr,0.33676247059526815
gradient_boosting,0.05732320402680682
lightgbm,2.7312535878091643e-17
xgboost,0.14719745739524454
catboost,0.10797691163147279
