run_id,experiment,model,oof_loss,oof_acc,oof_rmse_dollars,oof_mae_dollars,oof_r2
tuned3_s42,tuned3,blend_optimized,0.09792771390375772,0.7852718513420509,18972.039283548365,11953.988524045188,0.942863415489003
tuned3_s42,tuned3,blend_equal,0.09880528957955825,0.7852718513420509,19324.97407634365,12109.95171816982,0.9407178309778195
tuned3_s42,tuned3,lasso,0.1006098359016946,0.7715072264280798,19342.98640417181,12539.581181744517,0.9406072686041694
tuned3_s42,tuned3,elasticnet,0.10084684767992225,0.7721954576737784,19327.14918832979,12527.166438045702,0.9407044852819771
tuned3_s42,tuned3,svr,0.10196660522769747,0.7818306951135582,19088.30896771199,12294.4253262,0.9421609491866421
tuned3_s42,tuned3,ridge,0.10214560168578815,0.7639366827253957,19511.601127462713,12642.017455571846,0.9395672908670764
tuned3_s42,tuned3,kernel_ridge,0.10263823948323217,0.7694425326909842,19473.461996255115,12760.126257892021,0.9398033143869515
tuned3_s42,tuned3,catboost,0.10450889947416019,0.7832071576049553,21354.823948216756,13083.716165451679,0.9276100567656708
tuned3_s42,tuned3,xgboost,0.10515857494191265,0.7680660701995871,21165.99984023661,13128.061057806142,0.9288845729563501
tuned3_s42,tuned3,lightgbm,0.10761919335953468,0.7508602890571232,21975.818495482144,13370.79288339722,0.9233386674180059
tuned3_s42,tuned3,gradient_boosting,0.10813250251384257,0.7501720578114246,21538.307006024144,13510.007079181076,0.9263607474945855
