run_id,experiment,model,oof_loss,oof_acc,oof_rmse_dollars,oof_mae_dollars,oof_r2
tuned2_s42,tuned2,blend_optimized,0.10791010991069241,0.7770919067215364,20353.757928196563,12553.166692325738,0.9343995300045773
tuned2_s42,tuned2,blend_equal,0.10885567351212096,0.7709190672153635,20623.56820320138,12810.356523509992,0.9326487973122335
tuned2_s42,tuned2,lasso,0.11143591511664003,0.7379972565157751,21271.048982156135,13483.163164008789,0.9283534048794659
tuned2_s42,tuned2,elasticnet,0.11152491395185515,0.7469135802469136,21204.133758958047,13450.097116189887,0.9288034726640888
tuned2_s42,tuned2,svr,0.1130291237319295,0.7674897119341564,20577.098921848275,12797.080307724098,0.9329519685139357
tuned2_s42,tuned2,ridge,0.11341775878598163,0.7517146776406035,21499.996413165656,13700.81167898533,0.9268027920219009
tuned2_s42,tuned2,catboost,0.11345862904033852,0.7469135802469136,21627.100754837742,13516.474188565608,0.92593477477643
tuned2_s42,tuned2,gradient_boosting,0.1142437059027637,0.7633744855967078,21536.308782392643,13363.922905545014,0.9265553307133056
tuned2_s42,tuned2,xgboost,0.11465032687595222,0.7379972565157751,22051.693963310576,13862.54908495226,0.9229980622897005
tuned2_s42,tuned2,kernel_ridge,0.1187207002019529,0.7311385459533608,21912.12361982295,14180.163721406156,0.9239697043032271
tuned2_s42,tuned2,lightgbm,0.12220670990528323,0.7167352537722909,23287.368701558706,14762.31981836769,0.9141266156168666
